대분류,중분류,소분류,code,total_count_en
Accommodations,,,Ch4v8z7,16
Accommodations,Hostels,,Ct9n1n3,2
Accommodations,Hotels,,Ce7q5s7,9
Cuisine,,,Cl9s3y9,1263
Cuisine,Bars & Clubs,,Ck6n0w6,53
Cuisine,Cafes & Tea Shops,,Cx0t8m5,226
Cuisine,Foreign Restaurant,,Cx2j0n1,248
Cuisine,Foreign Restaurant,Chinese,Cm1y8v1,65
Cuisine,Foreign Restaurant,Fusion,Cx3e9k9,6
Cuisine,Foreign Restaurant,Japanese,Ch7l5i4,40
Cuisine,Foreign Restaurant,Others,Cn7k2s5,42
Cuisine,Foreign Restaurant,Western,Cl9n1c2,90
Cuisine,Korean Restaurants,,Cz9d1h6,544
Culture,,,Ca0o2d4,728
Culture,Convention Centers,,Cp7e6o3,5
Culture,Cultural Districts,,Ca1u7i6,50
Culture,Cultural Facilities,,Cg1x6l1,450
Culture,Cultural Facilities,Art Museums/Galleries,Ct9t6m8,57
Culture,Cultural Facilities,Museums,Cr0q2v2,57
Culture,Cultural Facilities,Others Cultural Facilities,Cy6j7j7,20
Culture,Education Centers,,Cl2d2s1,12
Culture,Landmarks,,Cl5y4k0,49
Culture,Leisure/Sports Centers,,Co0g3x0,27
Culture,Other Cultural Destinations,,Ct4h4b7,32
Culture,Parks,,Ce9z7g9,48
Culture,Performance Halls,,Cr1f0k2,27
Culture,Theme Parks,,Cy5h2x9,7
Experience Programs,,,Cc9i5o2,101
Experience Programs,Craft Workshops,,Cq3m6s6,17
Experience Programs,Industrial Sites,,Cr6o1h2,17
Experience Programs,Other Experiences,,Cl8f8q1,28
Experience Programs,Temple Stays,,Cq9d5v0,2
Experience Programs,Traditional Experience,,Cd0m9o0,16
Experience Programs,Wellness,,Cf1y9k1,15
Festivals/Events/Performances,,,Cv7s8m5,1109
Festivals/Events/Performances,Events,,Cf9q1q4,139
Festivals/Events/Performances,Events,Exhibitions,Cu9u5z7,117
Festivals/Events/Performances,Events,Expos,Cu6j1f4,6
Festivals/Events/Performances,Events,Other Events,Cw7q1x8,16
Festivals/Events/Performances,Festivals,,Cd4y5u1,700
Festivals/Events/Performances,Performances,,Cb2b0t2,14
History,,,Ca1z6p7,92
History,Historical Sites,,Cl1k5b1,70
History,Historical Sites,Fortresses & Gates,Co2n1h7,12
History,Historical Sites,Historical Sites,Cb9o5c4,7
History,Historical Sites,Modern Architecture,Ci7i9i6,6
History,Historical Sites,Others Historical Sites,Cr6m1i5,23
History,Historical Sites,Palaces,Ch5t7s7,9
History,Historical Sites,Tombs & Mausoleums,Cb9c5i3,8
History,Religious Sites,,Cw1i3e4,20
Nature,,,Co6c2n2,91
Nature,Natural Sites(Mountains),,Cu5u8d4,30
Nature,Natural Sites(Parks),,Cp3b3j9,33
Nature,Natural Sites(Rivers),,Cw8j0y7,22
Shopping,,,Cu8e6t5,289
Shopping,Department Stores,,Cs3j7y4,18
Shopping,Duty Free Shops,,Cp5i3g2,5
Shopping,Shopping Malls & Outlets,,Cy4k5t1,28
Shopping,Specialty Shops & Stores,,Cn0t1e0,151
Shopping,Supermarkets & Warehouses,,Ct1z4k9,3
Shopping,Traditional Markets,,Cn7z1h7,34
